"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\src\pages\Home.js", "JavaScript", 286, 0, 0, 0, 0, 3, 46, 335
"e:\Workspace\Project-laptop-shop\client\src\pages\News.js", "JavaScript", 184, 0, 0, 0, 0, 10, 27, 221
"e:\Workspace\Project-laptop-shop\client\src\pages\NotFound.js", "JavaScript", 86, 0, 0, 0, 0, 0, 1, 87
"e:\Workspace\Project-laptop-shop\client\src\pages\Notification.js", "JavaScript", 81, 0, 0, 0, 0, 0, 6, 87
"e:\Workspace\Project-laptop-shop\client\src\pages\Order.js", "JavaScript", 491, 0, 0, 0, 0, 14, 43, 548
"e:\Workspace\Project-laptop-shop\client\src\pages\Product.js", "JavaScript", 229, 0, 0, 0, 0, 10, 32, 271
"e:\Workspace\Project-laptop-shop\client\src\pages\ProductDetail.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\pages\Setting.js", "JavaScript", 226, 0, 0, 0, 0, 8, 25, 259
"e:\Workspace\Project-laptop-shop\client\src\pages\Support.js", "JavaScript", 514, 0, 0, 0, 0, 19, 42, 575
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\CategoryManager.js", "JavaScript", 635, 0, 0, 0, 0, 32, 49, 716
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\Dashboard.js", "JavaScript", 1019, 0, 0, 0, 0, 8, 37, 1064
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\NewsManager.js", "JavaScript", 658, 0, 0, 0, 0, 32, 32, 722
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\OrderManager.js", "JavaScript", 461, 0, 0, 0, 0, 12, 23, 496
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\PermissionManager.js", "JavaScript", 341, 0, 0, 0, 0, 5, 16, 362
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\ProductManager.js", "JavaScript", 799, 0, 0, 0, 0, 29, 59, 887
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\RolePermission.js", "JavaScript", 214, 0, 0, 0, 0, 5, 8, 227
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\SupportDashboard.js", "JavaScript", 259, 0, 0, 0, 0, 10, 30, 299
"e:\Workspace\Project-laptop-shop\client\src\pages\admin\UserManager.js", "JavaScript", 490, 0, 0, 0, 0, 8, 19, 517
"e:\Workspace\Project-laptop-shop\client\src\pages\auth\ResetPassword.js", "JavaScript", 269, 0, 0, 0, 0, 10, 20, 299
"e:\Workspace\Project-laptop-shop\client\src\pages\auth\SignIn.js", "JavaScript", 370, 0, 0, 0, 0, 9, 28, 407
"e:\Workspace\Project-laptop-shop\client\src\pages\auth\SignUp.js", "JavaScript", 404, 0, 0, 0, 0, 7, 31, 442
"e:\Workspace\Project-laptop-shop\client\src\pages\setting\AccountInfo.js", "JavaScript", 352, 0, 0, 0, 0, 23, 43, 418
"e:\Workspace\Project-laptop-shop\client\src\pages\setting\ChangePassword.js", "JavaScript", 169, 0, 0, 0, 0, 14, 19, 202
"e:\Workspace\Project-laptop-shop\client\src\pages\setting\HelpSupport.js", "JavaScript", 342, 0, 0, 0, 0, 28, 24, 394
"e:\Workspace\Project-laptop-shop\client\src\pages\setting\LanguageRegion.js", "JavaScript", 317, 0, 0, 0, 0, 36, 43, 396
"e:\Workspace\Project-laptop-shop\client\src\pages\setting\NotificationSettings.js", "JavaScript", 416, 0, 0, 0, 0, 37, 38, 491
"e:\Workspace\Project-laptop-shop\client\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"e:\Workspace\Project-laptop-shop\client\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"e:\Workspace\Project-laptop-shop\client\src\styles\App.css", "CSS", 0, 0, 0, 288, 0, 25, 48, 361
"e:\Workspace\Project-laptop-shop\client\src\styles\ckeditor.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\styles\index.css", "CSS", 0, 0, 0, 805, 0, 64, 151, 1020
"e:\Workspace\Project-laptop-shop\client\src\styles\reset.css", "CSS", 0, 0, 0, 109, 0, 20, 19, 148
"e:\Workspace\Project-laptop-shop\client\src\styles\splash.css", "CSS", 0, 0, 0, 185, 0, 8, 36, 229
"e:\Workspace\Project-laptop-shop\client\src\trash\AdminSideBar.js", "JavaScript", 59, 0, 0, 0, 0, 7, 8, 74
"e:\Workspace\Project-laptop-shop\client\src\trash\AppRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 25, 4, 29
"e:\Workspace\Project-laptop-shop\client\src\trash\AppToast.js", "JavaScript", 0, 0, 0, 0, 0, 21, 2, 23
"e:\Workspace\Project-laptop-shop\client\src\trash\AuthForm.js", "JavaScript", 0, 0, 0, 0, 0, 359, 43, 402
"e:\Workspace\Project-laptop-shop\client\src\trash\AuthTabs.js", "JavaScript", 0, 0, 0, 0, 0, 22, 2, 24
"e:\Workspace\Project-laptop-shop\client\src\trash\CardNews.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 28
"e:\Workspace\Project-laptop-shop\client\src\trash\DashboardCards.js", "JavaScript", 0, 0, 0, 0, 0, 103, 4, 107
"e:\Workspace\Project-laptop-shop\client\src\trash\LoadingOverlay.js", "JavaScript", 46, 0, 0, 0, 0, 3, 6, 55
"e:\Workspace\Project-laptop-shop\client\src\trash\LoadingSpinner.js", "JavaScript", 102, 0, 0, 0, 0, 2, 11, 115
"e:\Workspace\Project-laptop-shop\client\src\trash\MarqueeBar.js", "JavaScript", 30, 0, 0, 0, 0, 0, 3, 33
"e:\Workspace\Project-laptop-shop\client\src\trash\ParticlesBackground.js", "JavaScript", 136, 0, 0, 0, 0, 3, 8, 147
"e:\Workspace\Project-laptop-shop\client\src\trash\Payment.js", "JavaScript", 25, 0, 0, 0, 0, 0, 6, 31
"e:\Workspace\Project-laptop-shop\client\src\trash\PaymentSuccess.js", "JavaScript", 162, 0, 0, 0, 0, 1, 20, 183
"e:\Workspace\Project-laptop-shop\client\src\trash\README.md", "HTML", 0, 60, 0, 0, 0, 0, 10, 70
"e:\Workspace\Project-laptop-shop\client\src\trash\RolesSection.js", "JavaScript", 201, 0, 0, 0, 0, 7, 11, 219
